bug,failingTests
Chart-6,"org.jfree.chart.util.junit.ShapeListTests::testSerialization, org.jfree.chart.util.junit.ShapeListTests::testEquals"
Chart-10,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests::testGenerateURLFragment
Chart-9,org.jfree.data.time.junit.TimeSeriesTests::testBug1864222
Chart-8,org.jfree.data.time.junit.WeekTests::testConstructor
Chart-7,org.jfree.data.time.junit.TimePeriodValuesTests::testGetMaxMiddleIndex
Chart-5,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483
Chart-3,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3
Chart-4,"org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1, org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2, org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1, org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2, org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins, org.jfree.chart.junit.JFreeChartTests::testSerialization4, org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo, org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset, org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo, org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset, org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset, org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset, org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYStepChartTests::testReplaceDataset, org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines"
Chart-2,"org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2, org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3"
Chart-1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660
Chart-12,org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor
Chart-11,org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualGeneralPaths
Chart-13,org.jfree.chart.block.junit.BorderArrangementTests::testSizingWithWidthConstraint
Chart-18,"org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955, org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey, org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue, org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2"
Chart-14,"org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker, org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveDomainMarker, org.jfree.chart.plot.junit.XYPlotTests::testRemoveRangeMarker, org.jfree.chart.plot.junit.XYPlotTests::testRemoveDomainMarker"
Chart-21,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds
Chart-15,org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset
Chart-16,"org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetCategoryKeys, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesIndex, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowIndex, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnCount, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnIndex, org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning2"
Chart-17,org.jfree.data.time.junit.TimeSeriesTests::testBug1832432
Chart-20,org.jfree.chart.plot.junit.ValueMarkerTests::test1808376
Chart-19,"org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex, org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex"
Chart-22,"org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey, org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue, org.jfree.data.junit.KeyedObjects2DTests::testGetValueByKey, org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByIndex, org.jfree.data.junit.KeyedObjects2DTests::testSetObject, org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey"
Chart-26,"org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo, org.jfree.chart.junit.BarChartTests::testDrawWithNullInfo, org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo, org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2, org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo, org.jfree.chart.junit.LineChartTests::testDrawWithNullInfo, org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.StackedBarChart3DTests::testDrawWithNullInfo, org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo, org.jfree.chart.junit.WaterfallChartTests::testDrawWithNullInfo, org.jfree.chart.plot.junit.CategoryPlotTests::test1654215, org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3, org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4, org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.LevelRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullInfo, org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testDrawWithNullInfo"
Chart-25,"org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical, org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical, org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal, org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal"
Chart-23,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testEquals
Chart-24,org.jfree.chart.renderer.junit.GrayPaintScaleTests::testGetPaint
Closure-3,"com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a, com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1, com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3"
Closure-7,"com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunction2, com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest::testTypeof3"
Closure-5,com.google.javascript.jscomp.InlineObjectLiteralsTest::testNoInlineDeletedProperties
Closure-6,"com.google.javascript.jscomp.LooseTypeCheckTest::testTypeRedefinition, com.google.javascript.jscomp.TypeCheckTest::testIssue635b, com.google.javascript.jscomp.TypeCheckTest::testTypeRedefinition"
Closure-2,com.google.javascript.jscomp.TypeCheckTest::testBadInterfaceExtendsNonExistentInterfaces
Closure-1,"com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams, com.google.javascript.jscomp.CommandLineRunnerTest::testForwardDeclareDroppedTypes, com.google.javascript.jscomp.CommandLineRunnerTest::testDebugFlag1, com.google.javascript.jscomp.IntegrationTest::testIssue787, com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1, com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2, com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3, com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b"
Closure-4,"com.google.javascript.jscomp.TypeCheckTest::testImplementsExtendsLoop, com.google.javascript.jscomp.TypeCheckTest::testImplementsLoop, com.google.javascript.jscomp.TypeCheckTest::testConversionFromInterfaceToRecursiveConstructor"
Closure-8,com.google.javascript.jscomp.CollapseVariableDeclarationsTest::testIssue820
Closure-9,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testGuessModuleName
Closure-11,"com.google.javascript.jscomp.TypeCheckTest::testGetprop4, com.google.javascript.jscomp.TypeCheckTest::testIssue810"
Closure-12,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue794b
Closure-10,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIssue821
Closure-14,"com.google.javascript.jscomp.CheckMissingReturnTest::testIssue779, com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedFinally, com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedBreakwithFinally"
Closure-17,com.google.javascript.jscomp.TypeCheckTest::testIssue688
Closure-13,com.google.javascript.jscomp.IntegrationTest::testIssue787
Closure-21,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode
Closure-15,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testSimpleForIn
Closure-16,"com.google.javascript.jscomp.IntegrationTest::testIssue772, com.google.javascript.jscomp.ScopedAliasesTest::testIssue772"
Closure-18,com.google.javascript.jscomp.IntegrationTest::testDependencySorting
Closure-20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest::testSimpleFunctionCall
Closure-19,com.google.javascript.jscomp.TypeInferenceTest::testNoThisInference
Closure-23,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldGetElem
Closure-24,com.google.javascript.jscomp.ScopedAliasesTest::testNonAliasLocal
Closure-22,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode
Closure-26,"com.google.javascript.jscomp.CommandLineRunnerTest::testTransformAMDAndProcessCJS, com.google.javascript.jscomp.CommandLineRunnerTest::testProcessCJS, com.google.javascript.jscomp.ProcessCommonJSModulesTest::testExports, com.google.javascript.jscomp.ProcessCommonJSModulesTest::testModuleName, com.google.javascript.jscomp.ProcessCommonJSModulesTest::testDash, com.google.javascript.jscomp.ProcessCommonJSModulesTest::testVarRenaming, com.google.javascript.jscomp.ProcessCommonJSModulesTest::testWithoutExports"
Closure-25,com.google.javascript.jscomp.TypeInferenceTest::testBackwardsInferenceNew
Closure-27,"com.google.javascript.rhino.IRTest::testIssue727_1, com.google.javascript.rhino.IRTest::testIssue727_2, com.google.javascript.rhino.IRTest::testIssue727_3"
Closure-29,"com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject10, com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject12, com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject22, com.google.javascript.jscomp.InlineObjectLiteralsTest::testIssue724, com.google.javascript.jscomp.IntegrationTest::testIssue724"
Closure-30,"com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testInlineAcrossSideEffect1, com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testCanInlineAcrossNoSideEffect, com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue698"
Closure-31,com.google.javascript.jscomp.CommandLineRunnerTest::testDependencySortingWhitespaceMode
Closure-32,"com.google.javascript.jscomp.IntegrationTest::testIssue701, com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicense, com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParsePreserve, com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicenseAscii"
Closure-33,com.google.javascript.jscomp.TypeCheckTest::testIssue700
Closure-28,"com.google.javascript.jscomp.InlineCostEstimatorTest::testCost, com.google.javascript.jscomp.InlineFunctionsTest::testIssue728"
Closure-34,com.google.javascript.jscomp.CodePrinterTest::testManyAdds
Closure-35,com.google.javascript.jscomp.TypeCheckTest::testIssue669
Closure-37,com.google.javascript.jscomp.IntegrationTest::testIncompleteFunction
Closure-36,com.google.javascript.jscomp.IntegrationTest::testSingletonGetter1
Closure-39,"com.google.javascript.rhino.jstype.RecordTypeTest::testRecursiveRecord, com.google.javascript.rhino.jstype.RecordTypeTest::testLongToString"
Closure-45,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue618_1
Closure-38,com.google.javascript.jscomp.CodePrinterTest::testMinusNegativeZero
Closure-40,"com.google.javascript.jscomp.IntegrationTest::testIssue284, com.google.javascript.jscomp.NameAnalyzerTest::testIssue284"
Closure-42,com.google.javascript.jscomp.parsing.ParserTest::testForEach
Closure-41,"com.google.javascript.jscomp.LooseTypeCheckTest::testMethodInference6, com.google.javascript.jscomp.TypeCheckTest::testIssue368, com.google.javascript.jscomp.TypeCheckTest::testMethodInference6"
Closure-44,com.google.javascript.jscomp.CodePrinterTest::testIssue620
Closure-43,"com.google.javascript.jscomp.TypeCheckTest::testLends10, com.google.javascript.jscomp.TypeCheckTest::testLends11"
Closure-46,"com.google.javascript.rhino.jstype.JSTypeTest::testRecordTypeLeastSuperType2, com.google.javascript.rhino.jstype.JSTypeTest::testRecordTypeLeastSuperType3, com.google.javascript.rhino.jstype.RecordTypeTest::testSupAndInf"
Closure-47,"com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testParseSourceMetaMap, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput0a, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultiFunctionMapping, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappingsGoldenOutput, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping2, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMappingGoldenOutput, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testSourceMapMerging, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappings, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping1, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping2, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput1, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput2, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput3, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput4, com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput5"
Closure-48,com.google.javascript.jscomp.TypeCheckTest::testIssue586
Closure-49,"com.google.javascript.jscomp.FunctionInjectorTest::testInline19b, com.google.javascript.jscomp.FunctionInjectorTest::testInlineIntoLoop, com.google.javascript.jscomp.FunctionInjectorTest::testInline13, com.google.javascript.jscomp.FunctionInjectorTest::testInline14, com.google.javascript.jscomp.FunctionInjectorTest::testInline15, com.google.javascript.jscomp.FunctionInjectorTest::testInline16, com.google.javascript.jscomp.FunctionInjectorTest::testInline17, com.google.javascript.jscomp.FunctionInjectorTest::testInline18, com.google.javascript.jscomp.FunctionInjectorTest::testInline19, com.google.javascript.jscomp.FunctionInjectorTest::testBug1897706, com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction5, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateWithParameters3, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateCallInLoopVars1, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars1, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars2, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateFunctionDefinition, com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutate8, com.google.javascript.jscomp.InlineFunctionsTest::testLoopWithFunctionWithFunction, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables16, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables18, com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining11, com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInliningCosting3, com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverMutateConstants, com.google.javascript.jscomp.InlineFunctionsTest::testInlineWithThis7, com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous1, com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous3, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables1, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables3, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables6, com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables7, com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11b, com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultNoParamCall3, com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining9, com.google.javascript.jscomp.InlineFunctionsTest::testMethodWithFunctionWithFunction, com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionYCombinator, com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineVars7, com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2a, com.google.javascript.jscomp.InlineFunctionsTest::testComplexInline7, com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionOmega, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15b, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15d, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions16a, com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818, com.google.javascript.jscomp.InlineFunctionsTest::testComplexSample, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified1, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified2, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified3, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified4, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified5, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified6, com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified7, com.google.javascript.jscomp.InlineFunctionsTest::testIssue423, com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2, com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition3, com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeFunctionExpressionInCall, com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverOverrideNewValues, com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs1, com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs2, com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs3, com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs4, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions10, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions13, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions22, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions23, com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions9, com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testMakeLocalNamesUniqueWithContext5"
Closure-50,"com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest::testStringJoinAdd, com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest::testNoStringJoin"
Closure-53,com.google.javascript.jscomp.InlineObjectLiteralsTest::testBug545
Closure-51,com.google.javascript.jscomp.CodePrinterTest::testIssue582
Closure-52,com.google.javascript.jscomp.CodePrinterTest::testNumericKeys
Closure-59,com.google.javascript.jscomp.CommandLineRunnerTest::testCheckGlobalThisOff
Closure-55,com.google.javascript.jscomp.FunctionRewriterTest::testIssue538
Closure-54,"com.google.javascript.jscomp.TypeCheckTest::testIssue537a, com.google.javascript.jscomp.TypeCheckTest::testIssue537b, com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertyOnUnknownSuperClass2"
Closure-56,"com.google.javascript.jscomp.JSCompilerSourceExcerptProviderTest::testExceptNoNewLine, com.google.javascript.jscomp.JsMessageExtractorTest::testSyntaxError1, com.google.javascript.jscomp.JsMessageExtractorTest::testSyntaxError2"
Closure-58,com.google.javascript.jscomp.LiveVariableAnalysisTest::testExpressionInForIn
Closure-57,com.google.javascript.jscomp.ClosureCodingConventionTest::testRequire
Closure-62,"com.google.javascript.jscomp.LightweightMessageFormatterTest::testFormatErrorSpaceEndOfLine1, com.google.javascript.jscomp.LightweightMessageFormatterTest::testFormatErrorSpaceEndOfLine2"
Closure-60,"com.google.javascript.jscomp.CommandLineRunnerTest::testIssue504, com.google.javascript.jscomp.NodeUtilTest::testGetBooleanValue"
Closure-63,"com.google.javascript.jscomp.LightweightMessageFormatterTest::testFormatErrorSpaceEndOfLine1, com.google.javascript.jscomp.LightweightMessageFormatterTest::testFormatErrorSpaceEndOfLine2"
Closure-61,"com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest::testCall1, com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest::testCall2, com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest::testRemoveUselessOps"
Closure-64,com.google.javascript.jscomp.CommandLineRunnerTest::testES5StrictUseStrictMultipleInputs
Closure-65,com.google.javascript.jscomp.CodePrinterTest::testZero
Closure-66,"com.google.javascript.jscomp.TypeCheckTest::testGetTypedPercent5, com.google.javascript.jscomp.TypeCheckTest::testGetTypedPercent6"
Closure-73,com.google.javascript.jscomp.CodePrinterTest::testUnicode
Closure-67,com.google.javascript.jscomp.RemoveUnusedPrototypePropertiesTest::testAliasing7
Closure-74,"com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldComparison3, com.google.javascript.jscomp.PeepholeFoldConstantsTest::testInvertibleOperators, com.google.javascript.jscomp.PeepholeFoldConstantsTest::testCommutativeOperators"
Closure-71,"com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties6, com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties8"
Closure-68,com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testIssue477
Closure-69,"com.google.javascript.jscomp.TypeCheckTest::testThisTypeOfFunction2, com.google.javascript.jscomp.TypeCheckTest::testThisTypeOfFunction3, com.google.javascript.jscomp.TypeCheckTest::testThisTypeOfFunction4"
Closure-70,"com.google.javascript.jscomp.LooseTypeCheckTest::testDuplicateLocalVarDecl, com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionArguments13, com.google.javascript.jscomp.TypeCheckTest::testScoping12, com.google.javascript.jscomp.TypeCheckTest::testDuplicateLocalVarDecl, com.google.javascript.jscomp.TypeCheckTest::testFunctionArguments13"
Closure-72,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions31
Closure-76,"com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testInExpression2, com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384b, com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384c, com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384d"
Closure-79,"com.google.javascript.jscomp.NormalizeTest::testIssue, com.google.javascript.jscomp.VarCheckTest::testPropReferenceInExterns1, com.google.javascript.jscomp.VarCheckTest::testPropReferenceInExterns3, com.google.javascript.jscomp.VarCheckTest::testVarReferenceInExterns, com.google.javascript.jscomp.VarCheckTest::testCallInExterns"
Closure-77,com.google.javascript.jscomp.CodePrinterTest::testZero
Closure-75,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIEString
Closure-78,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldArithmetic
Closure-83,com.google.javascript.jscomp.CommandLineRunnerTest::testVersionFlag2
Closure-80,"com.google.javascript.jscomp.NodeUtilTest::testIsBooleanResult, com.google.javascript.jscomp.NodeUtilTest::testLocalValue1"
Closure-81,com.google.javascript.jscomp.parsing.ParserTest::testUnnamedFunctionStatement
Closure-82,"com.google.javascript.jscomp.TypeCheckTest::testIssue301, com.google.javascript.rhino.jstype.FunctionTypeTest::testEmptyFunctionTypes"
Closure-85,"com.google.javascript.jscomp.UnreachableCodeEliminationTest::testCascadedRemovalOfUnlessUnconditonalJumps, com.google.javascript.jscomp.UnreachableCodeEliminationTest::testIssue311"
Closure-86,"com.google.javascript.jscomp.NodeUtilTest::testLocalValue1, com.google.javascript.jscomp.PureFunctionIdentifierTest::testLocalizedSideEffects8, com.google.javascript.jscomp.PureFunctionIdentifierTest::testLocalizedSideEffects9, com.google.javascript.jscomp.PureFunctionIdentifierTest::testAnnotationInExterns_new4, com.google.javascript.jscomp.PureFunctionIdentifierTest::testAnnotationInExterns_new6, com.google.javascript.jscomp.PureFunctionIdentifierTest::testIssue303b, com.google.javascript.jscomp.PureFunctionIdentifierTest::testIssue303"
Closure-84,com.google.javascript.jscomp.parsing.ParserTest::testDestructuringAssignForbidden4
